sampleTime|time|symbol|library|cost
00:15.188.964|1545697321589|__31-[ViewController testObserver:]_block_invoke|TestBlock|181.0851669999993
00:15.377.072|1545697321778|__31-[ViewController testObserver:]_block_invoke|TestBlock|1380.83275
00:17.105.598|1545697323506|__31-[ViewController testObserver:]_block_invoke|TestBlock|4833.224042000002
00:21.939.831|1545697328340|__31-[ViewController testObserver:]_block_invoke|TestBlock|86.32583299999897
00:22.027.143|1545697328428|__31-[ViewController testObserver:]_block_invoke|TestBlock|32.09737500000119
00:22.060.249|1545697328461|__31-[ViewController testObserver:]_block_invoke|TestBlock|99.3169170000001
00:22.160.571|1545697328561|__31-[ViewController testObserver:]_block_invoke|TestBlock|32.10016699999687
00:22.193.675|1545697328594|__31-[ViewController testObserver:]_block_invoke|TestBlock|99.30708299999969
00:22.293.987|1545697328694|__31-[ViewController testObserver:]_block_invoke|TestBlock|32.12299999999959
00:22.342.170|1545697328743|__31-[ViewController testObserver:]_block_invoke|TestBlock|256.828292000002
00:22.606.055|1545697329007|__31-[ViewController testObserver:]_block_invoke|TestBlock|37.14449999999852
00:22.644.204|1545697329045|__31-[ViewController testObserver:]_block_invoke|TestBlock|165.554500000002
00:22.821.802|1545697329222|__31-[ViewController testObserver:]_block_invoke|TestBlock|20.05383299999812
00:22.842.861|1545697329243|__31-[ViewController testObserver:]_block_invoke|TestBlock|50.14924999999857
00:22.894.014|1545697329295|__31-[ViewController testObserver:]_block_invoke|TestBlock|31.10245800000121
00:22.926.120|1545697329327|__31-[ViewController testObserver:]_block_invoke|TestBlock|49.12645799999882
00:22.976.250|1545697329377|__31-[ViewController testObserver:]_block_invoke|TestBlock|132.3878330000007
00:23.109.642|1545697329510|__31-[ViewController testObserver:]_block_invoke|TestBlock|33.09645799999998
00:23.290.390|1545697329691|__31-[ViewController testObserver:]_block_invoke|TestBlock|18.05970800000068
00:23.311.460|1545697329712|__31-[ViewController testObserver:]_block_invoke|TestBlock|65.20449999999983
00:23.377.670|1545697329778|__31-[ViewController testObserver:]_block_invoke|TestBlock|63.1862919999985
00:23.441.860|1545697329842|__31-[ViewController testObserver:]_block_invoke|TestBlock|87.30199999999968
00:23.539.207|1545697329940|__31-[ViewController testObserver:]_block_invoke|TestBlock|21.06325000000288
00:23.561.276|1545697329962|__31-[ViewController testObserver:]_block_invoke|TestBlock|32.1037499999984
00:23.594.384|1545697329995|__31-[ViewController testObserver:]_block_invoke|TestBlock|31.08595799999966
00:23.639.514|1545697330040|__31-[ViewController testObserver:]_block_invoke|TestBlock|36.11699999999837
00:23.676.635|1545697330077|__31-[ViewController testObserver:]_block_invoke|TestBlock|50.17929200000071
00:23.727.819|1545697330128|__31-[ViewController testObserver:]_block_invoke|TestBlock|81.2353750000002
00:23.810.060|1545697330211|__31-[ViewController testObserver:]_block_invoke|TestBlock|50.2021249999998
00:23.861.268|1545697330262|__31-[ViewController testObserver:]_block_invoke|TestBlock|36.1215830000001
00:23.905.422|1545697330306|__31-[ViewController testObserver:]_block_invoke|TestBlock|91.3337500000016
00:23.997.761|1545697330398|__31-[ViewController testObserver:]_block_invoke|TestBlock|387.5653329999986
00:24.386.337|1545697330787|__31-[ViewController testObserver:]_block_invoke|TestBlock|60.20937499999854
00:24.456.582|1545697330857|__31-[ViewController testObserver:]_block_invoke|TestBlock|36.10512500000186
